rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,dinner_fail,late,runs,holes
1866,134.402,Lang,-,QRM1001-01-00 UIC1561-01-00 UIC1401-03-00 UIC1751-01-00,STA2102-05-00 YCJ1305-01-00,ME FREE,18.0,월화,0,1,0,1,4,1+1
1867,134.402,Lang,-,QRM1001-01-00 UIC1561-01-00 UIC1401-03-00 UIC1751-01-00,STA2102-05-00 UCD1101-01-00,ME FREE,18.0,월화,0,1,0,1,4,1+1
1868,134.385,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1806-01-00,STA2102-05-00 STA1002-04-00,ME FREE,18.0,월금,1,1,0,1,5,1+3+1+1
1869,134.385,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1805-01-00,STA2102-05-00 STA1002-04-00,ME FREE,18.0,월금,1,1,0,1,5,1+3+1+1
1870,134.385,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1805-01-00,STA2102-05-00 STA1002-04-00,ME FREE,18.0,월금,1,1,0,1,5,1+3+1+1
1871,134.385,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1806-01-00,STA2102-05-00 STA1002-04-00,ME FREE,18.0,월금,1,1,0,1,5,1+3+1+1
1872,134.377,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,2,0,1,4+6,1+1+2
1873,134.377,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,2,0,1,4+6,1+1+2
1874,134.377,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,2,0,1,4+6,1+1+2
1875,134.377,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,2,0,1,4+6,1+1+2
